OriginalFactors,NewFactors
   HIGH SURF ADVISORY,Storm Surge/Tide
 FLASH FLOOD,Flash Flood
 TSTM WIND,Thunderstorm Wind
 TSTM WIND (G45),Thunderstorm Wind
?,Other
AGRICULTURAL FREEZE,Frost/Freeze
APACHE COUNTY,Other
ASTRONOMICAL HIGH TIDE,Storm Surge/Tide
ASTRONOMICAL LOW TIDE,Astronomical Low Tide
AVALANCE,Avalanche
AVALANCHE,Avalanche
Beach Erosion,Other
BLACK ICE,Frost/Freeze
BLIZZARD,Blizzard
BLIZZARD/WINTER STORM,Blizzard
BLOWING DUST,Dust Storm
blowing snow,Heavy Snow
BLOWING SNOW,Heavy Snow
BREAKUP FLOODING,Flood
BRUSH FIRE,Wildfire
COASTAL  FLOODING/EROSION,Flood
COASTAL EROSION,Flood
Coastal Flood,Flood
COASTAL FLOOD,Flood
Coastal Flooding,Flood
COASTAL FLOODING,Flood
COASTAL FLOODING/EROSION,Flood
Coastal Storm,Marine High Wind
COASTAL STORM,Marine High Wind
COASTAL SURGE,Storm Surge/Tide
COASTALSTORM,Storm Surge/Tide
Cold,Extreme Cold/Wind Chill
COLD,Extreme Cold/Wind Chill
COLD AIR TORNADO,Tornado
COLD AND SNOW,Extreme Cold/Wind Chill
COLD AND WET CONDITIONS,Extreme Cold/Wind Chill
Cold Temperature,Extreme Cold/Wind Chill
COLD WAVE,Extreme Cold/Wind Chill
COLD WEATHER,Extreme Cold/Wind Chill
COLD/WIND CHILL,Extreme Cold/Wind Chill
COLD/WINDS,Extreme Cold/Wind Chill
COOL AND WET,Extreme Cold/Wind Chill
DAM BREAK,Flood
Damaging Freeze,Ice Storm
DAMAGING FREEZE,Ice Storm
DENSE FOG,Dense Fog
DENSE SMOKE,Other
DOWNBURST,Heavy Rain
DROUGHT,Drought
DROUGHT/EXCESSIVE HEAT,Drought
DROWNING,Other
DRY MICROBURST,Dust Storm
DRY MIRCOBURST WINDS,Dust Storm
Dust Devil,Dust Devil
DUST DEVIL,Dust Devil
DUST DEVIL WATERSPOUT,Waterspout
DUST STORM,Dust Storm
DUST STORM/HIGH WINDS,Dust Storm
Early Frost,Frost/Freeze
Erosion/Cstl Flood,Flood
EXCESSIVE HEAT,Heat
EXCESSIVE RAINFALL,Heavy Rain
EXCESSIVE SNOW,Heavy Snow
EXCESSIVE WETNESS,Heavy Rain
Extended Cold,Extreme Cold/Wind Chill
Extreme Cold,Extreme Cold/Wind Chill
EXTREME COLD,Extreme Cold/Wind Chill
EXTREME COLD/WIND CHILL,Extreme Cold/Wind Chill
EXTREME HEAT,Heat
EXTREME WIND CHILL,Extreme Cold/Wind Chill
EXTREME WINDCHILL,Extreme Cold/Wind Chill
FALLING SNOW/ICE,Heavy Snow
FLASH FLOOD,Flash Flood
FLASH FLOOD - HEAVY RAIN,Flash Flood
FLASH FLOOD FROM ICE JAMS,Flash Flood
FLASH FLOOD LANDSLIDES,Flash Flood
FLASH FLOOD WINDS,Flash Flood
FLASH FLOOD/,Flash Flood
FLASH FLOOD/ STREET,Flash Flood
FLASH FLOOD/FLOOD,Flash Flood
